Date,y,High,Low,Open,Volume,unique_id,Rolling_Mean_30,Month,day_of_week,quarter,day_of_week_sin,day_of_week_cos,month_sin,month_cos,quarter_sin,quarter_cos,lag_1_y,lag_7_y,lag1_volume,daily_returns,volatility_30,hl_spread,rsi_14
2014-02-18,3.237548589706421,3.246884072874471,3.2114093258660694,3.2300802922021705,9163500,1,3.1534666856129965,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.0,1.0,3.185269355773926,3.0844461917877197,20059500.0,-0.00813949966235139,0.021710671023569092,0.0634814094485141,59.16108225373028
2014-02-19,3.187136650085449,3.220744430050918,3.1778011680158995,3.194604946710909,13277000,1,3.154462480545044,2,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.0,1.0,3.237548589706421,3.1404592990875244,9163500.0,0.016412814143246246,0.021915677870125216,0.035474747008401586,59.95670546977633
2014-02-20,3.2058072090148926,3.21514268990445,3.170332248089321,3.192737580284596,8962000,1,3.153031063079834,2,3,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.0,1.0,3.187136650085449,3.1143202781677246,13277000.0,-0.015571021785202976,0.02207322548854125,0.042943262035018304,61.28316596500606
2014-02-21,3.196472406387329,3.2356815234734526,3.196472406387329,3.2188775207613416,7017500,1,3.152097487449646,2,4,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,1.0,3.2058072090148926,3.1946051120758057,8962000.0,0.005858098029446923,0.02209996562313787,0.04481044181512939,61.45370973789145
2014-02-24,3.248750925064087,3.263687741114845,3.2338141090133283,3.248750925064087,9817000,1,3.1450647751490277,2,0,0,0.0,1.0,0.8660254037844386,0.5000000000000001,0.0,1.0,3.196472406387329,3.233814477920532,7017500.0,-0.002911841548460359,0.019630990652892363,0.03920911708612351,66.27076288267051
2014-02-25,3.226346015930176,3.2394156473337805,3.2058078647420354,3.2226116447501747,9754000,1,3.1408326943715412,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.0,1.0,3.248750925064087,3.2114086151123047,9817000.0,0.016355066470241653,0.019856781698782033,0.029873632101516723,76.94239238516838
2014-02-26,3.2450172901153564,3.273023741175858,3.2039409838328976,3.239415955388159,8785000,1,3.1375964005788166,2,2,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001,0.0,1.0,3.226346015930176,3.185269355773926,9754000.0,-0.006896468720041682,0.019703339484504163,0.03360778259174513,68.09820757081978
2014-02-27,3.271156311035156,3.2935616482701473,3.2244788960880437,3.2450170476949616,15480500,1,3.1365384022394815,2,3,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001,0.0,1.0,3.2450172901153564,3.237548589706421,8785000.0,0.005787127013962667,0.019575986922610887,0.06908275734296021,73.41777625118706
2014-02-28,3.27675724029541,3.297295389363554,3.2543521284054444,3.2730230920763232,11012000,1,3.136476182937622,2,4,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001,0.0,1.0,3.271156311035156,3.187136650085449,15480500.0,0.008055125314561984,0.0196317124157512,0.06908275218210358,68.65676904333192
2014-03-03,3.2132761478424072,3.226346001764092,3.181535550980028,3.21140918483607,9114000,1,3.1373474915822346,3,0,0,0.0,1.0,1.0,6.123233995736766e-17,0.0,1.0,3.27675724029541,3.2058072090148926,11012000.0,0.0017122169433969603,0.019588455164948223,0.04294326095810952,65.14524118732018
